,0
0,SHSE.600999
1,SHSE.601878
2,SHSE.601601
3,SHSE.601336
4,SHSE.601169
5,SHSE.600050
6,SHSE.600104
7,SHSE.600703
8,SHSE.601229
9,SHSE.600028
10,SHSE.601788
11,SHSE.601313
12,SHSE.603993
13,SHSE.601766
14,SHSE.600606
15,SHSE.601988
16,SHSE.600029
17,SHSE.600111
18,SHSE.600000
19,SHSE.600100
20,SHSE.600519
21,SHSE.601328
22,SHSE.600036
23,SHSE.600019
24,SHSE.600309
25,SHSE.601628
26,SHSE.601800
27,SHSE.601398
28,SHSE.601688
29,SHSE.601198
30,SHSE.600485
31,SHSE.601881
32,SHSE.600887
33,SHSE.601857
34,SHSE.600340
35,SHSE.601669
36,SHSE.600518
37,SHSE.600547
38,SHSE.600585
39,SHSE.601989
40,SHSE.601088
41,SHSE.600048
42,SHSE.601668
43,SHSE.601166
44,SHSE.600030
45,SHSE.600276
46,SHSE.601006
47,SHSE.601390
48,SHSE.600958
49,SHSE.601288
50,SHSE.601985
51,SHSE.601186
52,SHSE.601818
53,SHSE.601211
54,SHSE.600837
55,SHSE.601318
56,SHSE.600690
57,SHSE.600016
58,SHSE.600919
59,SHSE.601901
